epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4345,1.37835,3.6826,1.2066,0.98532,0.04644,0.17392,0.10006,1.467,3.08234,1.18986,0.000219329,0.000219329,0.000219329
2,41.1348,1.27446,2.27128,1.1424,0.39978,0.50456,0.44869,0.23358,1.52427,1.70364,1.31052,0.000430731,0.000430731,0.000430731
3,50.5706,1.23741,1.70775,1.13605,0.5794,0.66389,0.65612,0.35527,1.48588,1.50861,1.3751,0.000631128,0.000631128,0.000631128
4,60.7843,1.1534,1.48252,1.12351,0.66591,0.76228,0.73366,0.39219,1.4804,1.36631,1.3583,0.000617475,0.000617475,0.000617475
5,70.5807,1.13304,1.33658,1.12404,0.7593,0.78232,0.78729,0.42943,1.49462,1.17155,1.35016,0.000600967,0.000600967,0.000600967
6,80.5074,1.09094,1.23885,1.10924,0.80351,0.77528,0.80313,0.42691,1.50511,1.17077,1.38044,0.000584459,0.000584459,0.000584459
7,90.4054,1.05147,1.16603,1.08679,0.81194,0.82518,0.82039,0.45192,1.46945,1.10109,1.34914,0.00056795,0.00056795,0.00056795
8,100.415,1.06081,1.13758,1.10205,0.79582,0.80891,0.81323,0.45633,1.42922,1.08308,1.34407,0.000551442,0.000551442,0.000551442
9,110.214,1.05291,1.07955,1.095,0.84538,0.84803,0.85254,0.47573,1.45271,1.0156,1.33439,0.000534934,0.000534934,0.000534934
10,120.033,1.03298,1.03571,1.08551,0.86193,0.85159,0.86007,0.47424,1.45547,0.97726,1.33222,0.000518426,0.000518426,0.000518426
11,129.82,1.02777,1.02403,1.08687,0.80779,0.84636,0.85503,0.4655,1.46859,1.02954,1.35742,0.000501917,0.000501917,0.000501917
12,139.7,1.01018,0.98055,1.07179,0.86029,0.85469,0.85933,0.48221,1.43342,1.00493,1.3261,0.000485409,0.000485409,0.000485409
13,149.601,0.97124,0.93013,1.06426,0.82665,0.86055,0.86043,0.48322,1.43902,0.97416,1.33101,0.000468901,0.000468901,0.000468901
14,159.598,0.95234,0.91449,1.0565,0.87185,0.85175,0.86834,0.49035,1.42748,0.94817,1.34125,0.000452393,0.000452393,0.000452393
15,169.47,0.95825,0.89206,1.0579,0.85329,0.84746,0.84488,0.47474,1.43317,0.97903,1.34182,0.000435884,0.000435884,0.000435884
16,179.298,0.9505,0.88935,1.06027,0.86563,0.88322,0.87123,0.50061,1.41538,0.92401,1.32254,0.000419376,0.000419376,0.000419376
17,189.128,0.97152,0.90058,1.07118,0.82375,0.85288,0.84454,0.47053,1.43167,1.00197,1.33968,0.000402868,0.000402868,0.000402868
18,198.98,0.92683,0.85184,1.04976,0.86392,0.86852,0.87412,0.50323,1.40595,0.92967,1.32676,0.00038636,0.00038636,0.00038636
19,208.997,0.95215,0.87041,1.06121,0.86585,0.8519,0.85933,0.48207,1.41575,0.9482,1.31275,0.000369851,0.000369851,0.000369851
20,218.886,0.929,0.84747,1.05493,0.87212,0.86789,0.86513,0.49615,1.43504,0.89181,1.32186,0.000353343,0.000353343,0.000353343
21,228.246,0.93826,0.82574,1.05403,0.87724,0.87002,0.87088,0.49959,1.40628,0.90454,1.34118,0.000336835,0.000336835,0.000336835
22,238.555,0.92409,0.81393,1.04643,0.85803,0.87266,0.86341,0.49591,1.39759,0.9135,1.30148,0.000320327,0.000320327,0.000320327
23,248.574,0.934,0.842,1.05435,0.87764,0.88134,0.8752,0.49573,1.42183,0.88558,1.32152,0.000303818,0.000303818,0.000303818
